"age","sex","location_code","cause","rate","measure","location_type"
0,2,1,"all_cause_dementia",0.00000130752366161963,"prevalence","imd_decile"
0,1,1,"all_cause_dementia",0.00000137402333318973,"prevalence","imd_decile"
1,2,1,"all_cause_dementia",0.00000130807244433681,"prevalence","imd_decile"
1,1,1,"all_cause_dementia",0.00000137244950568622,"prevalence","imd_decile"
2,2,1,"all_cause_dementia",0.00000131348891884942,"prevalence","imd_decile"
2,1,1,"all_cause_dementia",0.00000137410997391883,"prevalence","imd_decile"
3,2,1,"all_cause_dementia",0.00000130025982238224,"prevalence","imd_decile"
3,1,1,"all_cause_dementia",0.00000136457535610481,"prevalence","imd_decile"
4,2,1,"all_cause_dementia",0.00000130078975401998,"prevalence","imd_decile"
4,1,1,"all_cause_dementia",0.0000013641644654923,"prevalence","imd_decile"
5,2,1,"all_cause_dementia",0.00000130217327947167,"prevalence","imd_decile"
5,1,1,"all_cause_dementia",0.0000013658604828251,"prevalence","imd_decile"
6,2,1,"all_cause_dementia",0.00000130711439817883,"prevalence","imd_decile"
6,1,1,"all_cause_dementia",0.00000135917546082541,"prevalence","imd_decile"
7,2,1,"all_cause_dementia",0.0000012996321805965,"prevalence","imd_decile"
7,1,1,"all_cause_dementia",0.00000136099163821272,"prevalence","imd_decile"
8,2,1,"all_cause_dementia",0.00000130771082339206,"prevalence","imd_decile"
8,1,1,"all_cause_dementia",0.00000135603827097041,"prevalence","imd_decile"
9,2,1,"all_cause_dementia",0.00000130476957882732,"prevalence","imd_decile"
9,1,1,"all_cause_dementia",0.00000135431956062483,"prevalence","imd_decile"
10,2,1,"all_cause_dementia",0.00000129836102544779,"prevalence","imd_decile"
10,1,1,"all_cause_dementia",0.000001359263518614,"prevalence","imd_decile"
11,2,1,"all_cause_dementia",0.00000130003159324054,"prevalence","imd_decile"
11,1,1,"all_cause_dementia",0.00000135729807311766,"prevalence","imd_decile"
12,2,1,"all_cause_dementia",0.00000130145064613524,"prevalence","imd_decile"
12,1,1,"all_cause_dementia",0.00000135804349631023,"prevalence","imd_decile"
13,2,1,"all_cause_dementia",0.00000130624673852155,"prevalence","imd_decile"
13,1,1,"all_cause_dementia",0.00000136174027414462,"prevalence","imd_decile"
14,2,1,"all_cause_dementia",0.00000130796912148832,"prevalence","imd_decile"
14,1,1,"all_cause_dementia",0.00000136084746342717,"prevalence","imd_decile"
15,2,1,"all_cause_dementia",0.0000013060268085004,"prevalence","imd_decile"
15,1,1,"all_cause_dementia",0.00000135926412550305,"prevalence","imd_decile"
16,2,1,"all_cause_dementia",0.00000130810956715462,"prevalence","imd_decile"
16,1,1,"all_cause_dementia",0.00000136291515424405,"prevalence","imd_decile"
17,2,1,"all_cause_dementia",0.00000131141855992095,"prevalence","imd_decile"
17,1,1,"all_cause_dementia",0.00000137228508787502,"prevalence","imd_decile"
18,2,1,"all_cause_dementia",0.00000130992074186569,"prevalence","imd_decile"
18,1,1,"all_cause_dementia",0.00000136759765926576,"prevalence","imd_decile"
19,2,1,"all_cause_dementia",0.00000132211669782697,"prevalence","imd_decile"
19,1,1,"all_cause_dementia",0.00000138310142290682,"prevalence","imd_decile"
20,2,1,"all_cause_dementia",0.00000132858839240564,"prevalence","imd_decile"
20,1,1,"all_cause_dementia",0.00000139878578439777,"prevalence","imd_decile"
21,2,1,"all_cause_dementia",0.00000132594675422375,"prevalence","imd_decile"
21,1,1,"all_cause_dementia",0.00000139318750444021,"prevalence","imd_decile"
22,2,1,"all_cause_dementia",0.00000129512567771194,"prevalence","imd_decile"
22,1,1,"all_cause_dementia",0.00000138738509365004,"prevalence","imd_decile"
23,2,1,"all_cause_dementia",0.00000127625652831542,"prevalence","imd_decile"
23,1,1,"all_cause_dementia",0.00000136299588424224,"prevalence","imd_decile"
24,2,1,"all_cause_dementia",0.00000124632371167162,"prevalence","imd_decile"
24,1,1,"all_cause_dementia",0.000001341910392437,"prevalence","imd_decile"
25,2,1,"all_cause_dementia",0.00000121717607707395,"prevalence","imd_decile"
25,1,1,"all_cause_dementia",0.00000130118206372042,"prevalence","imd_decile"
26,2,1,"all_cause_dementia",0.00000116850767642911,"prevalence","imd_decile"
26,1,1,"all_cause_dementia",0.00000125154023086139,"prevalence","imd_decile"
27,2,1,"all_cause_dementia",0.00000111952058877632,"prevalence","imd_decile"
27,1,1,"all_cause_dementia",0.00000120526599837806,"prevalence","imd_decile"
28,2,1,"all_cause_dementia",0.0000010799395849623,"prevalence","imd_decile"
28,1,1,"all_cause_dementia",0.00000116536888145943,"prevalence","imd_decile"
29,2,1,"all_cause_dementia",0.00000105388448179848,"prevalence","imd_decile"
29,1,1,"all_cause_dementia",0.00000113882521990984,"prevalence","imd_decile"
